id,year,statistic,name,team,value,top_25
110,1909,,Ty Cobb,Detroit,9.0,Top 25
111,1909,,Ty Cobb,Detroit,0.431,Top 25
112,1909,,Ty Cobb,Detroit,107.0,Top 25
113,1909,,Ty Cobb,Detroit,116.0,Top 25
114,1909,,Ty Cobb,Detroit,0.517,Top 25
115,1909,,Ty Cobb,Detroit,76.0,Top 25
116,1909,,Ty Cobb,Detroit,296.0,Top 25
117,1909,,Frank Baker,Philadelphia,19.0,Top 25
118,1910,,Donie Bush,Detroit,78.0,Top 25
119,1910,,Nap Lajoie,Detroit,0.384,Top 25
120,1910,,Nap Lajoie,Cleveland,51.0,Top 25
121,1910,,Nap Lajoie,Cleveland,227.0,Top 25
122,1910,,Jake Stahl,Boston,10.0,Top 25
123,1910,,Ty Cobb,Detroit,0.455,Top 25
124,1910,,Sam Crawford,Detroit,120.0,Top 25
125,1910,,Ty Cobb,Detroit,106.0,Top 25
126,1910,,Ty Cobb,Detroit,0.549,Top 25
127,1910,,Eddie Collins,Philadelphia,81.0,Top 25
128,1910,,Nap Lajoie,Cleveland,304.0,Top 25
129,1910,,Sam Crawford,Detroit,19.0,Top 25
130,1911,,Donie Bush,Detroit,98.0,Top 25
131,1911,,Ty Cobb,Detroit,0.419,Top 25
132,1911,,Ty Cobb,Detroit,47.0,Top 25
133,1911,,Ty Cobb,Detroit,248.0,Top 25
134,1911,,Frank Baker,Philadelphia,11.0,Top 25
135,1911,,Joe Jackson,Cleveland,0.468,Top 25
136,1911,,Ty Cobb,Detroit,127.0,Top 25
137,1911,,Ty Cobb,Detroit,147.0,Top 25
138,1911,,Ty Cobb,Detroit,0.62,Top 25
139,1911,,Ty Cobb,Detroit,83.0,Top 25
140,1911,,Ty Cobb,Detroit,367.0,Top 25
141,1911,,Ty Cobb,Detroit,24.0,Top 25
142,1912,,Donie Bush,Detroit,117.0,Top 25
143,1912,,Ty Cobb,Detroit,0.409,Top 25
144,1912,,Tris Speaker,Boston,53.0,Top 25
145,1912,,Ty Cobb,Detroit,226.0,Top 25
146,1912,,Joe Jackson,Cleveland,226.0,Top 25
147,1912,,Frank Baker,Philadelphia,10.0,Top 25
148,1912,,Tris Speaker,Boston,10.0,Top 25
149,1912,,Tris Speaker,Boston,0.464,Top 25
150,1912,,Frank Baker,Philadelphia,130.0,Top 25
151,1912,,Eddie Collins,Philadelphia,137.0,Top 25
152,1912,,Ty Cobb,Detroit,0.584,Top 25
153,1912,,Clyde Milan,Washington,88.0,Top 25
154,1912,,Joe Jackson,Cleveland,331.0,Top 25
155,1912,,Joe Jackson,Cleveland,26.0,Top 25
156,1913,,Burt Shotton,St. Louis,99.0,Top 25
157,1913,,Ty Cobb,Detroit,0.389,Top 25
158,1913,,Joe Jackson,Cleveland,39.0,Top 25
159,1913,,Joe Jackson,Cleveland,197.0,Top 25
160,1913,,Frank Baker,Philadelphia,12.0,Top 25
161,1913,,Ty Cobb,Detroit,0.466,Top 25
162,1913,,Frank Baker,Philadelphia,117.0,Top 25
163,1913,,Eddie Collins,Philadelphia,125.0,Top 25
164,1913,,Joe Jackson,Cleveland,0.551,Top 25
165,1913,,Clyde Milan,Washington,75.0,Top 25
166,1913,,Sam Crawford,Detroit,298.0,Top 25
167,1913,,Sam Crawford,Detroit,23.0,Top 25
168,1914,,Donie Bush,Detroit,112.0,Top 25
169,1914,,Ty Cobb *,Detroit,0.368,Top 25
170,1914,,Tris Speaker,Boston,46.0,Top 25
171,1914,,Tris Speaker,Boston,193.0,Top 25
172,1914,,Frank Baker,Philadelphia,9.0,Top 25
173,1914,,Eddie Collins,Philadelphia,0.452,Top 25
174,1914,,Sam Crawford,Detroit,104.0,Top 25
175,1914,,Eddie Collins,Philadelphia,122.0,Top 25
176,1914,,Tris Speaker,Boston,0.503,Top 25
177,1914,,Fritz Maisel,New York,74.0,Top 25
178,1914,,Tris Speaker,Boston,287.0,Top 25
179,1914,,Sam Crawford,Detroit,26.0,Top 25
180,1915,,Eddie Collins,Chicago,119.0,Top 25
181,1915,,Ty Cobb,Detroit,0.369,Top 25
182,1915,,Bobby Veach,Detroit,40.0,Top 25
183,1915,,Ty Cobb,Detroit,208.0,Top 25
184,1915,,Braggo Roth,Chicago,7.0,Top 25
185,1915,,Braggo Roth,Cleveland,7.0,Top 25
186,1915,,Ty Cobb,Detroit,0.486,Top 25
187,1915,,Sam Crawford,Detroit,112.0,Top 25
188,1915,,Bobby Veach,Detroit,112.0,Top 25
189,1915,,Ty Cobb,Detroit,144.0,Top 25
190,1915,,Jack Fournier,Chicago,0.491,Top 25
191,1915,,Ty Cobb,Detroit,96.0,Top 25
192,1915,,Ty Cobb,Detroit,274.0,Top 25
193,1915,,Sam Crawford,Detroit,19.0,Top 25
194,1916,,Burt Shotton,St. Louis,110.0,Top 25
195,1916,,Tris Speaker,Cleveland,0.386,Top 25
196,1916,,Jack Graney,Cleveland,41.0,Top 25
197,1916,,Tris Speaker,Cleveland,41.0,Top 25
198,1916,,Tris Speaker,Cleveland,211.0,Top 25
199,1916,,Wally Pipp,New York,12.0,Top 25
200,1916,,Tris Speaker,Cleveland,0.47,Top 25
201,1916,,Del Pratt,St. Louis,103.0,Top 25
202,1916,,Ty Cobb,Detroit,113.0,Top 25
203,1916,,Tris Speaker,Cleveland,0.502,Top 25
204,1916,,Ty Cobb,Detroit,68.0,Top 25
205,1916,,Joe Jackson,Chicago,293.0,Top 25
206,1916,,Joe Jackson,Chicago,21.0,Top 25
207,1917,,Jack Graney,Cleveland,94.0,Top 25
208,1917,,Ty Cobb,Detroit,0.383,Top 25
209,1917,,Ty Cobb,Detroit,44.0,Top 25
210,1917,,Ty Cobb,Detroit,225.0,Top 25
211,1917,,Wally Pipp,New York,9.0,Top 25
212,1917,,Ty Cobb,Detroit,0.444,Top 25
213,1917,,Bobby Veach,Detroit,103.0,Top 25
214,1917,,Donie Bush,Detroit,112.0,Top 25
215,1917,,Ty Cobb,Detroit,0.57,Top 25
216,1917,,Ty Cobb,Detroit,55.0,Top 25
217,1917,,Ty Cobb,Detroit,335.0,Top 25
218,1917,,Ty Cobb,Detroit,24.0,Top 25
219,1918,,Ray Chapman,Cleveland,84.0,Top 25
220,1918,,Ty Cobb,Detroit,0.382,Top 25
221,1918,,Tris Speaker,Cleveland,33.0,Top 25
222,1918,,George Burns,Philadelphia,178.0,Top 25
223,1918,,Babe Ruth,Boston,11.0,Top 25
224,1918,,Tilly Walker,Philadelphia,11.0,Top 25
225,1918,,Ty Cobb,Detroit,0.44,Top 25
226,1918,,Bobby Veach,Detroit,78.0,Top 25
227,1918,,Ray Chapman,Cleveland,84.0,Top 25
228,1918,,Babe Ruth,Boston,0.555,Top 25
229,1918,,George Sisler,St. Louis,45.0,Top 25
230,1918,,George Burns,Philadelphia,236.0,Top 25
231,1918,,Ty Cobb,Detroit,14.0,Top 25
232,1919,,Jack Graney,Cleveland,105.0,Top 25
233,1919,,Ty Cobb,Detroit,0.384,Top 25
234,1919,,BobbyVeach,Detroit,45.0,Top 25
235,1919,,Ty Cobb,Detroit,191.0,Top 25
236,1919,,BobbyVeach,Detroit,191.0,Top 25
237,1919,,Babe Ruth,Boston,29.0,Top 25
238,1919,,Babe Ruth,Boston,0.456,Top 25
239,1919,,Babe Ruth,Boston,114.0,Top 25
240,1919,,Babe Ruth,Boston,103.0,Top 25
241,1919,,Babe Ruth,Boston,0.657,Top 25
242,1919,,Eddie Collins,Chicago,33.0,Top 25
243,1919,,Babe Ruth,Boston,284.0,Top 25
244,1919,,BobbyVeach,Detroit,17.0,Top 25
245,1920,,Babe Ruth,New York,150.0,Top 25
246,1920,,George Sisler,St. Louis,0.407,Top 25
247,1920,,Tris Speaker,Cleveland,50.0,Top 25
248,1920,,George Sisler,St. Louis,257.0,Top 25
249,1920,,Babe Ruth,New York,54.0,Top 25
250,1920,,Babe Ruth,New York,0.532,Top 25
251,1920,,Babe Ruth,New York,137.0,Top 25
252,1920,,Babe Ruth,New York,158.0,Top 25
253,1920,,Babe Ruth,New York,0.847,Top 25
254,1920,,Sam Rice,Washington,63.0,Top 25
255,1920,,George Sisler,St. Louis,399.0,Top 25
256,1920,,Joe Jackson,Chicago,20.0,Top 25
257,1921,,Babe Ruth,New York,145.0,Top 25
258,1921,,Harry Heilmann,Detroit,0.394,Top 25
259,1921,,Tris Speaker,Cleveland,52.0,Top 25
260,1921,,Harry Heilmann,Detroit,237.0,Top 25
261,1921,,Babe Ruth,New York,59.0,Top 25
262,1921,,Babe Ruth,New York,0.512,Top 25
263,1921,,Babe Ruth,New York,171.0,Top 25
264,1921,,Babe Ruth,New York,177.0,Top 25
265,1921,,Babe Ruth,New York,0.846,Top 25
266,1921,,George Sisler,St. Louis,35.0,Top 25
267,1921,,Babe Ruth,New York,457.0,Top 25
268,1921,,Howie Shanks,Washington,18.0,Top 25
269,1921,,George Sisler,St. Louis,18.0,Top 25
270,1921,,Jack Tobin,St. Louis,18.0,Top 25
271,1922,,Whitey Witt,New York,89.0,Top 25
272,1922,,George Sisler,St. Louis,0.42,Top 25
273,1922,,Tris Speaker,Cleveland,48.0,Top 25
274,1922,,George Sisler,St. Louis,246.0,Top 25
275,1922,,Ken Williams,St. Louis,39.0,Top 25
276,1922,,Tris Speaker,Cleveland,0.474,Top 25
277,1922,,Ken Williams,St. Louis,155.0,Top 25
278,1922,,George Sisler,St. Louis,134.0,Top 25
279,1922,,Babe Ruth,New York,0.672,Top 25
280,1922,,George Sisler,St. Louis,51.0,Top 25
281,1922,,Ken Williams,St. Louis,367.0,Top 25
282,1922,,George Sisler,St. Louis,18.0,Top 25
283,1923,,Babe Ruth,New York,170.0,Top 25
284,1923,,Harry Heilmann,Detroit,0.403,Top 25
285,1923,,Tris Speaker,Cleveland,59.0,Top 25
286,1923,,Charlie Jamieson,Cleveland,222.0,Top 25
287,1923,,Babe Ruth,New York,41.0,Top 25
288,1923,,Babe Ruth,New York,0.545,Top 25
289,1923,,Babe Ruth,New York,131.0,Top 25
290,1923,,Babe Ruth,New York,151.0,Top 25
291,1923,,Babe Ruth,New York,0.764,Top 25
292,1923,,Eddie Collins,Chicago,48.0,Top 25
293,1923,,Babe Ruth,New York,399.0,Top 25
294,1923,,Goose Goslin,Washington,18.0,Top 25
295,1924,,Babe Ruth,New York,142.0,Top 25
296,1924,,Babe Ruth,New York,0.378,Top 25
297,1924,,Harry Heilmann,Detroit,45.0,Top 25
298,1924,,Joe Sewell,Cleveland,45.0,Top 25
299,1924,,Sam Rice,Washington,216.0,Top 25
300,1924,,Babe Ruth,New York,46.0,Top 25
301,1924,,Babe Ruth,New York,0.513,Top 25
302,1924,,Goose Goslin,Washington,129.0,Top 25
303,1924,,Babe Ruth,New York,143.0,Top 25
304,1924,,Babe Ruth,New York,0.739,Top 25
305,1924,,Eddie Collins,Chicago,42.0,Top 25
306,1924,,Babe Ruth,New York,391.0,Top 25
307,1925,,Willie Kamm,Chicago,90.0,Top 25
308,1925,,Johnny Mostil,Chicago,90.0,Top 25
309,1925,,Harry Heilmann,Detroit,0.393,Top 25
310,1925,,Marty McManus,St. Louis,44.0,Top 25
311,1925,,Al Simmons,Philadelphia,253.0,Top 25
312,1925,,Bob Meusel,New York,33.0,Top 25
313,1925,,Tris Speaker,Cleveland,0.479,Top 25
314,1925,,Bob Meusel,New York,138.0,Top 25
315,1925,,Johnny Mostil,Chicago,135.0,Top 25
316,1925,,Ken Williams,St. Louis,0.613,Top 25
317,1925,,Johnny Mostil,Chicago,43.0,Top 25
318,1925,,Al Simmons,Philadelphia,392.0,Top 25
319,1926,,Babe Ruth,New York,144.0,Top 25
320,1926,,Heinie Manush,Detroit,0.378,Top 25
321,1926,,George Burns,Cleveland,64.0,Top 25
322,1926,,Sam Rice,Washington,216.0,Top 25
323,1926,,Babe Ruth,New York,47.0,Top 25
324,1926,,Babe Ruth,New York,0.516,Top 25
325,1926,,Babe Ruth,New York,146.0,Top 25
326,1926,,Babe Ruth,New York,139.0,Top 25
327,1926,,Babe Ruth,New York,0.737,Top 25
328,1926,,Johnny Mostil,Chicago,35.0,Top 25
329,1926,,Babe Ruth,New York,365.0,Top 25
330,1927,,Babe Ruth,New York,137.0,Top 25
331,1927,,Harry Heilmann,Detroit,0.398,Top 25
332,1927,,Lou Gehrig,New York,52.0,Top 25
333,1927,,Earle Combs,New York,231.0,Top 25
334,1927,,Babe Ruth,New York,60.0,Top 25
335,1927,,Babe Ruth,New York,0.486,Top 25
336,1927,,Lou Gehrig,New York,175.0,Top 25
