id,year,statistic,team,value
id,year,statistic,Team,
334,1944,Fewest Hits Allowed,Philadelphia,1.0
335,1944,Fewest Home Runs Allowed,Detroit,39.0
336,1944,Fewest Walks Allowed,Philadelphia,390.0
337,1944,Saves,Cleveland,18.0
338,1944,Shutouts,Detroit,20.0
339,1944,Strikeouts,St. Louis,581.0
340,1945,Complete Games,St. Louis,91.0
341,1945,ERA,Washington,2.93
342,1945,Fewest Hits Allowed,Cleveland,1.0
343,1945,Fewest Home Runs Allowed,Cleveland,39.0
344,1945,Fewest Walks Allowed,Washington,440.0
345,1945,Saves,Detroit,16.0
346,1945,Shutouts,Detroit,19.0
347,1945,Shutouts,Washington,19.0
348,1946,Complete Games,Detroit,94.0
349,1946,ERA,Chicago,3.1
350,1946,Fewest Hits Allowed,New York,1.0
351,1946,Fewest Home Runs Allowed,New York,66.0
352,1946,Fewest Walks Allowed,Detroit,497.0
353,1946,Saves,Boston,20.0
354,1946,Shutouts,Detroit,18.0
355,1947,Complete Games,Detroit,77.0
356,1947,ERA,New York,3.4
357,1947,Fewest Hits Allowed,New York,1.0
358,1947,Fewest Home Runs Allowed,Washington,63.0
359,1947,Fewest Walks Allowed,Detroit,531.0
360,1947,Saves,Cleveland,29.0
361,1947,Shutouts,Detroit,15.0
362,1947,Shutouts,Washington,15.0
363,1948,Complete Games,Philadelphia,74.0
364,1948,ERA,Cleveland,3.23
365,1948,Fewest Hits Allowed,Cleveland,1.0
366,1948,Fewest Home Runs Allowed,Washington,81.0
367,1948,Fewest Walks Allowed,Detroit,589.0
368,1948,Saves,Cleveland,30.0
369,1948,Shutouts,Cleveland,26.0
370,1949,Complete Games,Philadelphia,85.0
371,1949,ERA,Cleveland,3.36
372,1949,Fewest Hits Allowed,New York,1.0
373,1949,Fewest Home Runs Allowed,Washington,79.0
374,1949,Fewest Walks Allowed,Cleveland,611.0
375,1949,Saves,New York,36.0
376,1949,Shutouts,Detroit,19.0
377,1950,Complete Games,Detroit,72.0
378,1950,ERA,Cleveland,3.76
379,1950,Fewest Hits Allowed,Cleveland,1.0
380,1950,Fewest Home Runs Allowed,Washington,99.0
381,1950,Fewest Walks Allowed,Detroit,553.0
382,1950,Saves,New York,31.0
383,1951,Complete Games,Cleveland,76.0
384,1951,ERA,Cleveland,3.39
385,1951,Fewest Hits Allowed,Cleveland,1.0
386,1951,Fewest Home Runs Allowed,Cleveland,85.0
387,1951,Fewest Walks Allowed,Chicago,549.0
388,1951,Saves,Boston,24.0
389,1952,Complete Games,Cleveland,80.0
390,1952,ERA,New York,3.15
