id,year,statistic,name,team,value,top_25
115,1912,,Smoky Joe Wood,Boston,34.0,Top 25
116,1913,,Walter Johnson,Washington,29.0,Top 25
117,1913,,Walter Johnson,Washington,1.14,Top 25
118,1913,,Reb Russell,Chicago,52.0,Top 25
119,1913,,Chief Bender,Philadelphia,13.0,Top 25
120,1913,,Walter Johnson,Washington,11.0,Top 25
121,1913,,Walter Johnson,Washington,243.0,Top 25
122,1913,,Walter Johnson,Washington,0.837,Top 25
123,1913,,Walter Johnson,Washington,36.0,Top 25
124,1914,,Walter Johnson,Washington,33.0,Top 25
125,1914,,Dutch Leonard,Boston,0.96,Top 25
126,1914,,Walter Johnson,Washington,51.0,Top 25
127,1914,,Jack Bentley,Washington,4.0,Top 25
128,1914,,Hooks Dauss,Detroit,4.0,Top 25
129,1914,,Red Faber,Chicago,4.0,Top 25
130,1914,,Roy Mitchell,St. Louis,4.0,Top 25
131,1914,,Jim Shaw,Washington,4.0,Top 25
132,1914,,Walter Johnson,Washington,9.0,Top 25
133,1914,,Walter Johnson,Washington,225.0,Top 25
134,1914,,Chief Bender,Philadelphia,0.85,Top 25
135,1914,,Walter Johnson,Washington,28.0,Top 25
136,1915,,Walter Johnson,Washington,35.0,Top 25
137,1915,,Smoky Joe Wood,Boston,1.49,Top 25
138,1915,,Harry Coveleski,Detroit,50.0,Top 25
139,1915,,Red Faber,Chicago,50.0,Top 25
140,1915,,Carl Mays,Boston,7.0,Top 25
141,1915,,Walter Johnson,Washington,7.0,Top 25
142,1915,,Jim Scott,Chicago,7.0,Top 25
143,1915,,Walter Johnson,Washington,203.0,Top 25
144,1915,,Smoky Joe Wood,Boston,0.75,Top 25
145,1915,,Walter Johnson,Washington,27.0,Top 25
146,1916,,Walter Johnson,Washington,36.0,Top 25
147,1916,,Babe Ruth,Boston,1.75,Top 25
148,1916,,Dave Davenport,St. Louis,59.0,Top 25
149,1916,,Bob Shawkey,New York,8.0,Top 25
150,1916,,Babe Ruth,Boston,9.0,Top 25
151,1916,,Walter Johnson,Washington,228.0,Top 25
152,1916,,Nick Cullop,New York,0.684,Top 25
153,1916,,Walter Johnson,Washington,25.0,Top 25
154,1917,,Babe Ruth,Boston,35.0,Top 25
155,1917,,Eddie Cicotte,Chicago,1.53,Top 25
156,1917,,Dave Danforth,Chicago,50.0,Top 25
157,1917,,Dave Danforth,Chicago,9.0,Top 25
158,1917,,Stan Coveleski,Cleveland,9.0,Top 25
159,1917,,Walter Johnson,Washington,188.0,Top 25
160,1917,,Ed Klepfer,Cleveland,0.778,Top 25
161,1917,,Eddie Cicotte,Chicago,28.0,Top 25
162,1918,,Carl Mays,Boston,30.0,Top 25
163,1918,,Scott Perry,Philadelphia,30.0,Top 25
164,1918,,Walter Johnson,Washington,1.27,Top 25
165,1918,,Jim Bagby,Cleveland,45.0,Top 25
166,1918,,George Mogridge,New York,45.0,Top 25
167,1918,,George Mogridge,New York,7.0,Top 25
168,1918,,Walter Johnson,Washington,8.0,Top 25
169,1918,,Carl Mays,Boston,8.0,Top 25
170,1918,,Walter Johnson,Washington,162.0,Top 25
171,1918,,Sam Jones,Boston,0.762,Top 25
172,1918,,Walter Johnson,Washington,23.0,Top 25
173,1919,,Eddie Cicotte,Chicago,30.0,Top 25
174,1919,,Walter Johnson,Washington,1.49,Top 25
