id,year,statistic,name,team,value,top_25
100,1908,RBI,Ty Cobb,Detroit,108,Top 25
101,1908,Runs,Matty McIntyre,Detroit,105,Top 25
102,1908,Slugging Average,Ty Cobb,Detroit,.476,Top 25
103,1908,Stolen Bases,Patsy Dougherty,Chicago,47,Top 25
104,1908,Total Bases,Ty Cobb,Detroit,276,Top 25
105,1908,Triples,Ty Cobb,Detroit,20,Top 25
106,1909,Base on Balls,Donie Bush,Detroit,88,Top 25
107,1909,Batting Average,Ty Cobb,Detroit,.377,Top 25
108,1909,Doubles,Sam Crawford,Detroit,35,Top 25
109,1909,Hits,Ty Cobb,Detroit,216,Top 25
110,1909,Home Runs,Ty Cobb,Detroit,9,Top 25
111,1909,On Base Percentage,Ty Cobb,Detroit,.431,Top 25
112,1909,RBI,Ty Cobb,Detroit,107,Top 25
113,1909,Runs,Ty Cobb,Detroit,116,Top 25
114,1909,Slugging Average,Ty Cobb,Detroit,.517,Top 25
115,1909,Stolen Bases,Ty Cobb,Detroit,76,Top 25
116,1909,Total Bases,Ty Cobb,Detroit,296,Top 25
117,1909,Triples,Frank Baker,Philadelphia,19,Top 25
118,1910,Base on Balls,Donie Bush,Detroit,78,Top 25
119,1910,Batting Average *,Nap Lajoie,Detroit,.384,Top 25
120,1910,Doubles,Nap Lajoie,Cleveland,51,Top 25
121,1910,Hits,Nap Lajoie,Cleveland,227,Top 25
122,1910,Home Runs,Jake Stahl,Boston,10,Top 25
123,1910,On Base Percentage,Ty Cobb,Detroit,.455,Top 25
124,1910,RBI,Sam Crawford,Detroit,120,Top 25
125,1910,Runs,Ty Cobb,Detroit,106,Top 25
126,1910,Slugging Average,Ty Cobb,Detroit,.549,Top 25
127,1910,Stolen Bases,Eddie Collins,Philadelphia,81,Top 25
128,1910,Total Bases,Nap Lajoie,Cleveland,304,Top 25
129,1910,Triples,Sam Crawford,Detroit,19,Top 25
130,1911,Base on Balls,Donie Bush,Detroit,98,Top 25
131,1911,Batting Average,Ty Cobb,Detroit,.419,Top 25
132,1911,Doubles,Ty Cobb,Detroit,47,Top 25
133,1911,Hits,Ty Cobb,Detroit,248,Top 25
134,1911,Home Runs,Frank Baker,Philadelphia,11,Top 25
135,1911,On Base Percentage,Joe Jackson,Cleveland,.468,Top 25
136,1911,RBI,Ty Cobb,Detroit,127,Top 25
137,1911,Runs,Ty Cobb,Detroit,147,Top 25
138,1911,Slugging Average,Ty Cobb,Detroit,.620,Top 25
139,1911,Stolen Bases,Ty Cobb,Detroit,83,Top 25
140,1911,Total Bases,Ty Cobb,Detroit,367,Top 25
141,1911,Triples,Ty Cobb,Detroit,24,Top 25
142,1912,Base on Balls,Donie Bush,Detroit,117,Top 25
143,1912,Batting Average,Ty Cobb,Detroit,.409,Top 25
144,1912,Doubles,Tris Speaker,Boston,53,Top 25
145,1912,Hits,Ty Cobb,Detroit,226,Top 25
146,1912,Hits,Joe Jackson,Cleveland,226,Top 25
147,1912,Home Runs,Frank Baker,Philadelphia,10,Top 25
148,1912,Home Runs,Tris Speaker,Boston,10,Top 25
149,1912,On Base Percentage,Tris Speaker,Boston,.464,Top 25
150,1912,RBI,Frank Baker,Philadelphia,130,Top 25
151,1912,Runs,Eddie Collins,Philadelphia,137,Top 25
152,1912,Slugging Average,Ty Cobb,Detroit,.584,Top 25
153,1912,Stolen Bases,Clyde Milan,Washington,88,Top 25
154,1912,Total Bases,Joe Jackson,Cleveland,331,Top 25
155,1912,Triples,Joe Jackson,Cleveland,26,Top 25
156,1913,Base on Balls,Burt Shotton,St. Louis,99,Top 25
157,1913,Batting Average,Ty Cobb,Detroit,.389,Top 25
158,1913,Doubles,Joe Jackson,Cleveland,39,Top 25
159,1913,Hits,Joe Jackson,Cleveland,197,Top 25
160,1913,Home Runs,Frank Baker,Philadelphia,12,Top 25
161,1913,On Base Percentage,Ty Cobb,Detroit,.466,Top 25
162,1913,RBI,Frank Baker,Philadelphia,117,Top 25
163,1913,Runs,Eddie Collins,Philadelphia,125,Top 25
164,1913,Slugging Average,Joe Jackson,Cleveland,.551,Top 25
165,1913,Stolen Bases,Clyde Milan,Washington,75,Top 25
166,1913,Total Bases,Sam Crawford,Detroit,298,Top 25
167,1913,Triples,Sam Crawford,Detroit,23,Top 25
168,1914,Base on Balls,Donie Bush,Detroit,112,Top 25
169,1914,Batting Average,Ty Cobb *,Detroit,.368,Top 25
170,1914,Doubles,Tris Speaker,Boston,46,Top 25
171,1914,Hits,Tris Speaker,Boston,193,Top 25
172,1914,Home Runs,Frank Baker,Philadelphia,9,Top 25
173,1914,On Base Percentage,Eddie Collins,Philadelphia,.452,Top 25
174,1914,RBI,Sam Crawford,Detroit,104,Top 25
175,1914,Runs,Eddie Collins,Philadelphia,122,Top 25
176,1914,Slugging Average,Tris Speaker,Boston,.503,Top 25
